,ChannelGeneName_i,ChannelGeneName_j,ChannelIndex_i,ChannelIndex_j,ChannelName_i,ChannelName_j,ChannelPairs,PC_bin,Pearson Correlation,Resolution (micrometers)
0,LAMP1,CTNNB1,7.0,22.0,Lysosome,Adherens junctions,"(7, 22)",0.0,0.13782468820436505,0.11
1,LAMP1,CTNNB1,7.0,22.0,Lysosome,Adherens junctions,"(7, 22)",0.0,0.15835636128593417,0.22
2,LAMP1,CTNNB1,7.0,22.0,Lysosome,Adherens junctions,"(7, 22)",0.0,0.19709602190219846,0.44
3,LAMP1,CTNNB1,7.0,22.0,Lysosome,Adherens junctions,"(7, 22)",0.0,0.264359251354917,0.88
4,LAMP1,CTNNB1,7.0,22.0,Lysosome,Adherens junctions,"(7, 22)",0.0,0.37888377308155335,1.76
5,LAMP1,CTNNB1,7.0,22.0,Lysosome,Adherens junctions,"(7, 22)",0.0,0.5218342880183603,3.52
6,LAMP1,CTNNB1,7.0,22.0,Lysosome,Adherens junctions,"(7, 22)",0.0,0.8401403754922883,7.04
7,LAMP1,CTNNB1,7.0,22.0,Lysosome,Adherens junctions,"(7, 22)",0.0,0.9941717665634112,14.08
8,LAMP1,CTNNB1,7.0,22.0,Lysosome,Adherens junctions,"(7, 22)",0.0,0.0,28.16
0,ACTB,TOMM20,8.0,12.0,Filamentous actin,Mitochondria,"(8, 12)",0.0,0.09822689898113526,0.11
1,ACTB,TOMM20,8.0,12.0,Filamentous actin,Mitochondria,"(8, 12)",0.0,0.1271710632564441,0.22
2,ACTB,TOMM20,8.0,12.0,Filamentous actin,Mitochondria,"(8, 12)",0.0,0.1813355951416843,0.44
3,ACTB,TOMM20,8.0,12.0,Filamentous actin,Mitochondria,"(8, 12)",0.0,0.283735881394681,0.88
4,ACTB,TOMM20,8.0,12.0,Filamentous actin,Mitochondria,"(8, 12)",0.0,0.5005157968658163,1.76
5,ACTB,TOMM20,8.0,12.0,Filamentous actin,Mitochondria,"(8, 12)",0.0,0.6578249559311613,3.52
6,ACTB,TOMM20,8.0,12.0,Filamentous actin,Mitochondria,"(8, 12)",0.0,0.9594185544748418,7.04
7,ACTB,TOMM20,8.0,12.0,Filamentous actin,Mitochondria,"(8, 12)",0.0,0.9992545305144396,14.08
8,ACTB,TOMM20,8.0,12.0,Filamentous actin,Mitochondria,"(8, 12)",0.0,0.0,28.16
0,FBL,ACTN1,10.0,14.0,Nucleolus (Dense Fibrillar Component),Actin filaments,"(10, 14)",0.0,-0.2951042992606499,0.11
1,FBL,ACTN1,10.0,14.0,Nucleolus (Dense Fibrillar Component),Actin filaments,"(10, 14)",0.0,-0.29932489433788245,0.22
2,FBL,ACTN1,10.0,14.0,Nucleolus (Dense Fibrillar Component),Actin filaments,"(10, 14)",0.0,-0.29726723717858156,0.44
3,FBL,ACTN1,10.0,14.0,Nucleolus (Dense Fibrillar Component),Actin filaments,"(10, 14)",0.0,-0.29315841310930546,0.88
4,FBL,ACTN1,10.0,14.0,Nucleolus (Dense Fibrillar Component),Actin filaments,"(10, 14)",0.0,-0.2819762271412587,1.76
5,FBL,ACTN1,10.0,14.0,Nucleolus (Dense Fibrillar Component),Actin filaments,"(10, 14)",0.0,-0.205583190701302,3.52
6,FBL,ACTN1,10.0,14.0,Nucleolus (Dense Fibrillar Component),Actin filaments,"(10, 14)",0.0,0.27160031733066203,7.04
7,FBL,ACTN1,10.0,14.0,Nucleolus (Dense Fibrillar Component),Actin filaments,"(10, 14)",0.0,0.8675656841425743,14.08
8,FBL,ACTN1,10.0,14.0,Nucleolus (Dense Fibrillar Component),Actin filaments,"(10, 14)",0.0,0.0,28.16
0,ACTB,SEC61B,8.0,18.0,Filamentous actin,Endoplasmic Reticulum,"(8, 18)",0.0,-0.05367888931362913,0.11
1,ACTB,SEC61B,8.0,18.0,Filamentous actin,Endoplasmic Reticulum,"(8, 18)",0.0,-0.03433253980532083,0.22
2,ACTB,SEC61B,8.0,18.0,Filamentous actin,Endoplasmic Reticulum,"(8, 18)",0.0,0.011010866792786428,0.44
3,ACTB,SEC61B,8.0,18.0,Filamentous actin,Endoplasmic Reticulum,"(8, 18)",0.0,0.09938872877623596,0.88
4,ACTB,SEC61B,8.0,18.0,Filamentous actin,Endoplasmic Reticulum,"(8, 18)",0.0,0.27228177240521756,1.76
5,ACTB,SEC61B,8.0,18.0,Filamentous actin,Endoplasmic Reticulum,"(8, 18)",0.0,0.5197590892726754,3.52
6,ACTB,SEC61B,8.0,18.0,Filamentous actin,Endoplasmic Reticulum,"(8, 18)",0.0,0.8674563259248743,7.04
7,ACTB,SEC61B,8.0,18.0,Filamentous actin,Endoplasmic Reticulum,"(8, 18)",0.0,0.9997750233510223,14.08
8,ACTB,SEC61B,8.0,18.0,Filamentous actin,Endoplasmic Reticulum,"(8, 18)",0.0,0.0,28.16
0,NPM1,GJA1,11.0,15.0,Nucleolus (Granular Component),Gap junctions,"(11, 15)",0.0,-0.251463683918751,0.11
1,NPM1,GJA1,11.0,15.0,Nucleolus (Granular Component),Gap junctions,"(11, 15)",0.0,-0.27127279679903227,0.22
2,NPM1,GJA1,11.0,15.0,Nucleolus (Granular Component),Gap junctions,"(11, 15)",0.0,-0.28035668741676434,0.44
3,NPM1,GJA1,11.0,15.0,Nucleolus (Granular Component),Gap junctions,"(11, 15)",0.0,-0.2844132847318283,0.88
4,NPM1,GJA1,11.0,15.0,Nucleolus (Granular Component),Gap junctions,"(11, 15)",0.0,-0.2752581458865062,1.76
5,NPM1,GJA1,11.0,15.0,Nucleolus (Granular Component),Gap junctions,"(11, 15)",0.0,-0.2873013542611862,3.52
6,NPM1,GJA1,11.0,15.0,Nucleolus (Granular Component),Gap junctions,"(11, 15)",0.0,0.22482146205491835,7.04
7,NPM1,GJA1,11.0,15.0,Nucleolus (Granular Component),Gap junctions,"(11, 15)",0.0,0.9029767982869285,14.08
8,NPM1,GJA1,11.0,15.0,Nucleolus (Granular Component),Gap junctions,"(11, 15)",0.0,0.0,28.16
0,DSP,RAB5A,9.0,19.0,Desmosomes,Endosomes,"(9, 19)",0.0,0.08070053487099957,0.11
1,DSP,RAB5A,9.0,19.0,Desmosomes,Endosomes,"(9, 19)",0.0,0.11518957143731612,0.22
2,DSP,RAB5A,9.0,19.0,Desmosomes,Endosomes,"(9, 19)",0.0,0.16569136511713295,0.44
3,DSP,RAB5A,9.0,19.0,Desmosomes,Endosomes,"(9, 19)",0.0,0.25562109281705375,0.88
4,DSP,RAB5A,9.0,19.0,Desmosomes,Endosomes,"(9, 19)",0.0,0.4191156146362609,1.76
5,DSP,RAB5A,9.0,19.0,Desmosomes,Endosomes,"(9, 19)",0.0,0.3039692016700903,3.52
6,DSP,RAB5A,9.0,19.0,Desmosomes,Endosomes,"(9, 19)",0.0,0.015332183123674736,7.04
7,DSP,RAB5A,9.0,19.0,Desmosomes,Endosomes,"(9, 19)",0.0,0.997435001836689,14.08
8,DSP,RAB5A,9.0,19.0,Desmosomes,Endosomes,"(9, 19)",0.0,0.0,28.16
0,TUBA1B,AAVS1,1.0,21.0,Microtubules,Plasma membrane,"(1, 21)",0.0,0.5597278566128595,0.11
1,TUBA1B,AAVS1,1.0,21.0,Microtubules,Plasma membrane,"(1, 21)",0.0,0.5721445559020149,0.22
2,TUBA1B,AAVS1,1.0,21.0,Microtubules,Plasma membrane,"(1, 21)",0.0,0.5923555232840472,0.44
3,TUBA1B,AAVS1,1.0,21.0,Microtubules,Plasma membrane,"(1, 21)",0.0,0.6407777051692352,0.88
4,TUBA1B,AAVS1,1.0,21.0,Microtubules,Plasma membrane,"(1, 21)",0.0,0.7698496083292128,1.76
5,TUBA1B,AAVS1,1.0,21.0,Microtubules,Plasma membrane,"(1, 21)",0.0,0.812843484638069,3.52
6,TUBA1B,AAVS1,1.0,21.0,Microtubules,Plasma membrane,"(1, 21)",0.0,0.9822323088340801,7.04
7,TUBA1B,AAVS1,1.0,21.0,Microtubules,Plasma membrane,"(1, 21)",0.0,0.9999998554864403,14.08
8,TUBA1B,AAVS1,1.0,21.0,Microtubules,Plasma membrane,"(1, 21)",0.0,0.0,28.16
0,PXN,SEC61B,2.0,18.0,Matrix adhesions,Endoplasmic Reticulum,"(2, 18)",0.0,-0.04166630289254684,0.11
1,PXN,SEC61B,2.0,18.0,Matrix adhesions,Endoplasmic Reticulum,"(2, 18)",0.0,-0.04850569973771107,0.22
2,PXN,SEC61B,2.0,18.0,Matrix adhesions,Endoplasmic Reticulum,"(2, 18)",0.0,-0.04931405058104277,0.44
3,PXN,SEC61B,2.0,18.0,Matrix adhesions,Endoplasmic Reticulum,"(2, 18)",0.0,-0.03291093358108385,0.88
4,PXN,SEC61B,2.0,18.0,Matrix adhesions,Endoplasmic Reticulum,"(2, 18)",0.0,0.004807296089543026,1.76
5,PXN,SEC61B,2.0,18.0,Matrix adhesions,Endoplasmic Reticulum,"(2, 18)",0.0,0.21530055982656052,3.52
6,PXN,SEC61B,2.0,18.0,Matrix adhesions,Endoplasmic Reticulum,"(2, 18)",0.0,0.9455668670545949,7.04
7,PXN,SEC61B,2.0,18.0,Matrix adhesions,Endoplasmic Reticulum,"(2, 18)",0.0,0.9603725751311498,14.08
8,PXN,SEC61B,2.0,18.0,Matrix adhesions,Endoplasmic Reticulum,"(2, 18)",0.0,0.0,28.16
0,CENT2,ACTN1,0.0,14.0,Centrioles,Actin filaments,"(0, 14)",0.0,0.10265955269443482,0.11
1,CENT2,ACTN1,0.0,14.0,Centrioles,Actin filaments,"(0, 14)",0.0,0.14252156105593528,0.22
2,CENT2,ACTN1,0.0,14.0,Centrioles,Actin filaments,"(0, 14)",0.0,0.19921702138630235,0.44
3,CENT2,ACTN1,0.0,14.0,Centrioles,Actin filaments,"(0, 14)",0.0,0.2884084617064614,0.88
4,CENT2,ACTN1,0.0,14.0,Centrioles,Actin filaments,"(0, 14)",0.0,0.4027034307930177,1.76
5,CENT2,ACTN1,0.0,14.0,Centrioles,Actin filaments,"(0, 14)",0.0,0.3549960705848036,3.52
6,CENT2,ACTN1,0.0,14.0,Centrioles,Actin filaments,"(0, 14)",0.0,0.3455331514963988,7.04
7,CENT2,ACTN1,0.0,14.0,Centrioles,Actin filaments,"(0, 14)",0.0,0.9628190667966178,14.08
8,CENT2,ACTN1,0.0,14.0,Centrioles,Actin filaments,"(0, 14)",0.0,0.0,28.16
0,TJP1,NPM1,3.0,11.0,Tight junctions,Nucleolus (Granular Component),"(3, 11)",0.0,-0.1629025579976108,0.11
1,TJP1,NPM1,3.0,11.0,Tight junctions,Nucleolus (Granular Component),"(3, 11)",0.0,-0.16386644265125416,0.22
2,TJP1,NPM1,3.0,11.0,Tight junctions,Nucleolus (Granular Component),"(3, 11)",0.0,-0.161236610139667,0.44
3,TJP1,NPM1,3.0,11.0,Tight junctions,Nucleolus (Granular Component),"(3, 11)",0.0,-0.1557270566394909,0.88
4,TJP1,NPM1,3.0,11.0,Tight junctions,Nucleolus (Granular Component),"(3, 11)",0.0,-0.14486933066198265,1.76
5,TJP1,NPM1,3.0,11.0,Tight junctions,Nucleolus (Granular Component),"(3, 11)",0.0,-0.1795684954500658,3.52
6,TJP1,NPM1,3.0,11.0,Tight junctions,Nucleolus (Granular Component),"(3, 11)",0.0,-0.21659600270262563,7.04
7,TJP1,NPM1,3.0,11.0,Tight junctions,Nucleolus (Granular Component),"(3, 11)",0.0,0.9647825892232424,14.08
8,TJP1,NPM1,3.0,11.0,Tight junctions,Nucleolus (Granular Component),"(3, 11)",0.0,0.0,28.16
0,TUBA1B,GJA1,1.0,15.0,Microtubules,Gap junctions,"(1, 15)",0.0,0.4513471085769082,0.11
1,TUBA1B,GJA1,1.0,15.0,Microtubules,Gap junctions,"(1, 15)",0.0,0.5088610208563061,0.22
2,TUBA1B,GJA1,1.0,15.0,Microtubules,Gap junctions,"(1, 15)",0.0,0.5697543605871136,0.44
3,TUBA1B,GJA1,1.0,15.0,Microtubules,Gap junctions,"(1, 15)",0.0,0.6442416012265935,0.88
4,TUBA1B,GJA1,1.0,15.0,Microtubules,Gap junctions,"(1, 15)",0.0,0.7419019727156521,1.76
5,TUBA1B,GJA1,1.0,15.0,Microtubules,Gap junctions,"(1, 15)",0.0,0.750244832549616,3.52
6,TUBA1B,GJA1,1.0,15.0,Microtubules,Gap junctions,"(1, 15)",0.0,0.8624675267110777,7.04
7,TUBA1B,GJA1,1.0,15.0,Microtubules,Gap junctions,"(1, 15)",0.0,0.9999755296975024,14.08
8,TUBA1B,GJA1,1.0,15.0,Microtubules,Gap junctions,"(1, 15)",0.0,0.0,28.16
0,LMNB1,TOMM20,4.0,12.0,Nuclear envelope,Mitochondria,"(4, 12)",0.0,0.10461702353735017,0.11
1,LMNB1,TOMM20,4.0,12.0,Nuclear envelope,Mitochondria,"(4, 12)",0.0,0.1317084234310254,0.22
2,LMNB1,TOMM20,4.0,12.0,Nuclear envelope,Mitochondria,"(4, 12)",0.0,0.1818982084974424,0.44
3,LMNB1,TOMM20,4.0,12.0,Nuclear envelope,Mitochondria,"(4, 12)",0.0,0.27122312061428794,0.88
4,LMNB1,TOMM20,4.0,12.0,Nuclear envelope,Mitochondria,"(4, 12)",0.0,0.38840300456955923,1.76
5,LMNB1,TOMM20,4.0,12.0,Nuclear envelope,Mitochondria,"(4, 12)",0.0,0.49239519366445916,3.52
6,LMNB1,TOMM20,4.0,12.0,Nuclear envelope,Mitochondria,"(4, 12)",0.0,0.7429364298984484,7.04
7,LMNB1,TOMM20,4.0,12.0,Nuclear envelope,Mitochondria,"(4, 12)",0.0,0.9772581841342921,14.08
8,LMNB1,TOMM20,4.0,12.0,Nuclear envelope,Mitochondria,"(4, 12)",0.0,0.0,28.16
0,PXN,TOMM20,2.0,12.0,Matrix adhesions,Mitochondria,"(2, 12)",0.0,-0.031291043118499756,0.11
1,PXN,TOMM20,2.0,12.0,Matrix adhesions,Mitochondria,"(2, 12)",0.0,-0.035672268501823694,0.22
2,PXN,TOMM20,2.0,12.0,Matrix adhesions,Mitochondria,"(2, 12)",0.0,-0.03512875258594411,0.44
3,PXN,TOMM20,2.0,12.0,Matrix adhesions,Mitochondria,"(2, 12)",0.0,-0.021413305508878863,0.88
4,PXN,TOMM20,2.0,12.0,Matrix adhesions,Mitochondria,"(2, 12)",0.0,0.004650816870786856,1.76
5,PXN,TOMM20,2.0,12.0,Matrix adhesions,Mitochondria,"(2, 12)",0.0,0.1722353205549198,3.52
6,PXN,TOMM20,2.0,12.0,Matrix adhesions,Mitochondria,"(2, 12)",0.0,0.9433275063704696,7.04
7,PXN,TOMM20,2.0,12.0,Matrix adhesions,Mitochondria,"(2, 12)",0.0,0.965077346114845,14.08
8,PXN,TOMM20,2.0,12.0,Matrix adhesions,Mitochondria,"(2, 12)",0.0,0.0,28.16
